frame,img_path,pelvis_x,pelvis_y,pelvis_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z
0,IMG_6412-000001.png,0.0,0.0,0.0,0.14142872393131256,0.8236649036407471,0.1763809472322464,-0.020023485645651817,0.845122218132019,0.18579542636871338,0.2451823353767395,0.03914738819003105,-0.1546710729598999,-0.24859152734279633,0.048311203718185425,-0.16449332237243652
1,IMG_6412-000002.png,0.0,0.0,0.0,0.1482863426208496,0.8242990374565125,0.11961156129837036,-0.012617194093763828,0.8506098389625549,0.16535070538520813,0.24699196219444275,0.04111669212579727,-0.14602330327033997,-0.2439831644296646,0.04953950643539429,-0.16299784183502197
2,IMG_6412-000003.png,0.0,0.0,0.0,0.1535114049911499,0.8339168429374695,0.10068688541650772,-0.008173270151019096,0.8514636754989624,0.18159621953964233,0.2488141655921936,0.0381169393658638,-0.14545825123786926,-0.24024252593517303,0.047455448657274246,-0.16579966247081757
3,IMG_6412-000004.png,0.0,0.0,0.0,0.15868858993053436,0.8484535813331604,0.0989702045917511,-0.010006163269281387,0.8506565690040588,0.20249208807945251,0.2490960657596588,0.04324788972735405,-0.13838133215904236,-0.23822630941867828,0.04791951924562454,-0.1672244817018509
4,IMG_6412-000005.png,0.0,0.0,0.0,0.16319860517978668,0.8560189008712769,0.0953519344329834,-0.008740243501961231,0.8480966687202454,0.217291921377182,0.24945798516273499,0.04000687226653099,-0.12933573126792908,-0.2395319789648056,0.043352577835321426,-0.17272531986236572
5,IMG_6412-000006.png,0.0,0.0,0.0,0.15893174707889557,0.8615365624427795,0.11180301755666733,-0.019015785306692123,0.8518878221511841,0.21700018644332886,0.2502143979072571,0.04553939029574394,-0.12315955758094788,-0.2457956224679947,0.04239802807569504,-0.18717288970947266
6,IMG_6412-000007.png,0.0,0.0,0.0,0.1543281227350235,0.8614301681518555,0.09302821755409241,-0.01625479944050312,0.8486726880073547,0.23798075318336487,0.2541962265968323,0.044989340007305145,-0.1213250607252121,-0.2466503083705902,0.0464753657579422,-0.1856728494167328
7,IMG_6412-000008.png,0.0,0.0,0.0,0.14977571368217468,0.8535334467887878,0.10522544384002686,-0.01721893809735775,0.8419237732887268,0.2491963654756546,0.2517469823360443,0.04221979156136513,-0.13225555419921875,-0.2468690574169159,0.04888537898659706,-0.18508030474185944
8,IMG_6412-000009.png,0.0,0.0,0.0,0.1398714780807495,0.8664586544036865,0.07644341886043549,-0.026807768270373344,0.850348949432373,0.23979896306991577,0.2546631395816803,0.044459786266088486,-0.1295085847377777,-0.2525099217891693,0.05530905723571777,-0.17931455373764038
9,IMG_6412-000010.png,0.0,0.0,0.0,0.12804760038852692,0.8744728565216064,0.0785989910364151,-0.03172709047794342,0.8440149426460266,0.26190897822380066,0.2542639374732971,0.043124258518218994,-0.12529896199703217,-0.25670841336250305,0.05649057775735855,-0.176400288939476
10,IMG_6412-000011.png,0.0,0.0,0.0,0.11857112497091293,0.8842473030090332,0.05853864923119545,-0.038579538464546204,0.8409592509269714,0.27891504764556885,0.2532455027103424,0.04690176993608475,-0.12421628087759018,-0.2597724199295044,0.060268841683864594,-0.17303447425365448
11,IMG_6412-000012.png,0.0,0.0,0.0,0.11156880855560303,0.8835706114768982,0.06797181069850922,-0.04801834747195244,0.848574697971344,0.2763594686985016,0.25265419483184814,0.04510010406374931,-0.11992176622152328,-0.25996172428131104,0.058749228715896606,-0.16800172626972198
12,IMG_6412-000013.png,0.0,0.0,0.0,0.1060667335987091,0.882104218006134,0.08498337864875793,-0.05289524793624878,0.830567479133606,0.3028530478477478,0.24916312098503113,0.041352659463882446,-0.12448913604021072,-0.26364773511886597,0.05940095707774162,-0.15880440175533295
13,IMG_6412-000014.png,0.0,0.0,0.0,0.10003596544265747,0.8724576234817505,0.09219984710216522,-0.062063172459602356,0.7751137614250183,0.31616324186325073,0.24741649627685547,0.04162934049963951,-0.12572050094604492,-0.26382458209991455,0.05900149047374725,-0.15076644718647003
14,IMG_6412-000015.png,0.0,0.0,0.0,0.09899338334798813,0.877391517162323,0.10854846984148026,-0.06583477556705475,0.7599236369132996,0.30533042550086975,0.24708625674247742,0.03667043522000313,-0.13080233335494995,-0.26581016182899475,0.060050323605537415,-0.15419729053974152
15,IMG_6412-000016.png,0.0,0.0,0.0,0.09837846457958221,0.8728270530700684,0.12011726945638657,-0.06330356001853943,0.7486839890480042,0.24424195289611816,0.25175777077674866,0.042610716074705124,-0.13697849214076996,-0.26643264293670654,0.06303790211677551,-0.14832192659378052
16,IMG_6412-000017.png,0.0,0.0,0.0,0.09713984280824661,0.8682969808578491,0.1341482698917389,-0.06554317474365234,0.7470693588256836,0.20262156426906586,0.2513217329978943,0.04044034704566002,-0.14141003787517548,-0.2664056420326233,0.06368453800678253,-0.14291492104530334
17,IMG_6412-000018.png,0.0,0.0,0.0,0.0930493101477623,0.8606199622154236,0.14043079316616058,-0.06487569957971573,0.7406501173973083,0.15688367187976837,0.24858909845352173,0.03594555705785751,-0.14240291714668274,-0.26284217834472656,0.060393672436475754,-0.13997972011566162
18,IMG_6412-000019.png,0.0,0.0,0.0,0.0932314321398735,0.862474262714386,0.14548778533935547,-0.06064249575138092,0.7611066699028015,0.14606091380119324,0.25267934799194336,0.03032987378537655,-0.1449006199836731,-0.2624628245830536,0.060342155396938324,-0.1388269066810608
19,IMG_6412-000020.png,0.0,0.0,0.0,0.08873572200536728,0.858052670955658,0.15140917897224426,-0.05835076421499252,0.7825760245323181,0.11715531349182129,0.25254160165786743,0.02714845910668373,-0.13948746025562286,-0.261780321598053,0.05993009731173515,-0.14161375164985657
20,IMG_6412-000021.png,0.0,0.0,0.0,0.0877048596739769,0.8643531203269958,0.15956376492977142,-0.0592183917760849,0.8278470039367676,0.06543438136577606,0.25675615668296814,0.02700100466609001,-0.146749347448349,-0.2605854570865631,0.06452244520187378,-0.1283252239227295
21,IMG_6412-000022.png,0.0,0.0,0.0,0.08678257465362549,0.8655120730400085,0.15400025248527527,-0.05744578316807747,0.856643795967102,0.03955894336104393,0.2555301785469055,0.032613061368465424,-0.1388150453567505,-0.2604084312915802,0.0651751309633255,-0.12991143763065338
22,IMG_6412-000023.png,0.0,0.0,0.0,0.08784549683332443,0.8521708846092224,0.21243546903133392,-0.061388514935970306,0.8649574518203735,0.017385615035891533,0.2535627484321594,0.024415304884314537,-0.1523948460817337,-0.26153692603111267,0.05965019389986992,-0.1365385502576828
23,IMG_6412-000024.png,0.0,0.0,0.0,0.09336945414543152,0.8406052589416504,0.2494654506444931,-0.06509493291378021,0.8616043925285339,0.060466133058071136,0.2562118172645569,0.019679823890328407,-0.1510307490825653,-0.26436662673950195,0.057639043778181076,-0.1398242861032486
24,IMG_6412-000025.png,0.0,0.0,0.0,0.09126054495573044,0.8419185280799866,0.2493051141500473,-0.07440289109945297,0.8700980544090271,0.060178373008966446,0.2645310163497925,0.01988508738577366,-0.1479244977235794,-0.26739469170570374,0.06422743946313858,-0.13608019053936005
25,IMG_6412-000026.png,0.0,0.0,0.0,0.09554548561573029,0.8316051363945007,0.2651784121990204,-0.07159765064716339,0.8624565601348877,0.05113694444298744,0.268473744392395,0.011751668527722359,-0.160481795668602,-0.2679874300956726,0.06305474042892456,-0.13273298740386963
26,IMG_6412-000027.png,0.0,0.0,0.0,0.10457251220941544,0.8271594643592834,0.2845847010612488,-0.06424365937709808,0.8725528717041016,0.040839847177267075,0.2683427035808563,0.018209923058748245,-0.15839622914791107,-0.2688373029232025,0.06526152789592743,-0.12687192857265472
27,IMG_6412-000028.png,0.0,0.0,0.0,0.11280930787324905,0.8096742630004883,0.3274635672569275,-0.05090402439236641,0.880018413066864,0.06852030754089355,0.26590609550476074,0.012301902286708355,-0.1581139713525772,-0.267185240983963,0.0662415400147438,-0.13097724318504333
28,IMG_6412-000029.png,0.0,0.0,0.0,0.12120012193918228,0.7878230810165405,0.34549349546432495,-0.03700925409793854,0.8783838152885437,0.08958187699317932,0.265469491481781,0.018448764458298683,-0.1509149968624115,-0.26257580518722534,0.06458385288715363,-0.10787169635295868
29,IMG_6412-000030.png,0.0,0.0,0.0,0.1273151934146881,0.7799909114837646,0.33786702156066895,-0.030574601143598557,0.8876527547836304,0.08393532782793045,0.2665206491947174,0.01693609729409218,-0.14865902066230774,-0.25918450951576233,0.06650236994028091,-0.10481304675340652
30,IMG_6412-000031.png,0.0,0.0,0.0,0.13011984527111053,0.775083601474762,0.36797332763671875,-0.024902820587158203,0.8893349170684814,0.10510372370481491,0.2664318382740021,0.012523267418146133,-0.14794336259365082,-0.2596161663532257,0.06444825977087021,-0.1135309562087059
31,IMG_6412-000032.png,0.0,0.0,0.0,0.13013990223407745,0.7580318450927734,0.3730570077896118,-0.02030753530561924,0.8846614956855774,0.14447371661663055,0.2659408450126648,0.009157823398709297,-0.14032311737537384,-0.2581503689289093,0.0609903559088707,-0.12381302565336227
32,IMG_6412-000033.png,0.0,0.0,0.0,0.12526537477970123,0.7530543208122253,0.3410979211330414,-0.0187776330858469,0.8828054070472717,0.16193535923957825,0.26460081338882446,0.01266042422503233,-0.14050623774528503,-0.2624373733997345,0.061403434723615646,-0.13095922768115997
33,IMG_6412-000034.png,0.0,0.0,0.0,0.13196375966072083,0.7657091617584229,0.33268293738365173,-0.012862897478044033,0.8907003998756409,0.1836848258972168,0.26557254791259766,0.020258890464901924,-0.11816482245922089,-0.26400184631347656,0.06881902366876602,-0.11007117480039597
34,IMG_6412-000035.png,0.0,0.0,0.0,0.13152170181274414,0.7838535904884338,0.2921406626701355,-0.014276571571826935,0.8938988447189331,0.19313110411167145,0.262462317943573,0.026419982314109802,-0.1095975786447525,-0.2668677568435669,0.06805777549743652,-0.12841755151748657
35,IMG_6412-000036.png,0.0,0.0,0.0,0.12257268279790878,0.7880757451057434,0.21959927678108215,-0.01605648174881935,0.8935980200767517,0.16795741021633148,0.25906693935394287,0.03483310341835022,-0.10470099002122879,-0.27172473073005676,0.06156602501869202,-0.1360197216272354
36,IMG_6412-000037.png,0.0,0.0,0.0,0.12271200865507126,0.827153742313385,0.2241963893175125,-0.010919041000306606,0.8889470100402832,0.18313659727573395,0.26172056794166565,0.032988291233778,-0.1132696270942688,-0.2724773585796356,0.06054956465959549,-0.13477127254009247
37,IMG_6412-000038.png,0.0,0.0,0.0,0.12676654756069183,0.8172854781150818,0.230942040681839,-0.005721913650631905,0.8892448544502258,0.18893718719482422,0.2633509039878845,0.04144297167658806,-0.11035893112421036,-0.27628374099731445,0.052615340799093246,-0.16165223717689514
38,IMG_6412-000039.png,0.0,0.0,0.0,0.1343865543603897,0.8398433923721313,0.18688195943832397,-0.0006566941738128662,0.882290244102478,0.19474831223487854,0.2665000557899475,0.04240239039063454,-0.10309981554746628,-0.274451345205307,0.0487959198653698,-0.15931473672389984
