frame,img_path,pelvis_x,pelvis_y,pelvis_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z
0,IMG_6448-000001.png,-0.18127819895744324,-0.3165311813354492,8.118484497070312,-0.12837833166122437,0.0,8.246493339538574,-0.22775760293006897,0.004796504974365234,8.240413665771484,-0.055361226201057434,-0.26683664321899414,8.090550422668457,-0.29234084486961365,-0.2601461410522461,8.099987030029297
1,IMG_6448-000002.png,-0.18520596623420715,-0.32346272468566895,8.291504859924316,-0.13035811483860016,0.0,8.417566299438477,-0.23259399831295013,0.0037462711334228516,8.414177894592285,-0.05867189168930054,-0.2753291130065918,8.261260986328125,-0.2967025637626648,-0.2665126323699951,8.26814079284668
2,IMG_6448-000003.png,-0.1852819323539734,-0.3230910301208496,8.309298515319824,-0.13076242804527283,0.0,8.436517715454102,-0.23358428478240967,0.004252910614013672,8.432198524475098,-0.05906420946121216,-0.27448034286499023,8.277379989624023,-0.29710206389427185,-0.26627397537231445,8.2861328125
3,IMG_6448-000004.png,-0.18561555445194244,-0.3239861726760864,8.311478614807129,-0.13085567951202393,0.0,8.437381744384766,-0.23387524485588074,0.003771662712097168,8.433213233947754,-0.05925391614437103,-0.27609026432037354,8.283941268920898,-0.29722872376441956,-0.2677668333053589,8.290938377380371
4,IMG_6448-000005.png,-0.1858566701412201,-0.3235127925872803,8.322112083435059,-0.1316678822040558,0.0,8.449177742004395,-0.23430636525154114,0.0038497447967529297,8.447264671325684,-0.05970846116542816,-0.2756388187408447,8.294525146484375,-0.2978350818157196,-0.26752758026123047,8.30312442779541
5,IMG_6448-000006.png,-0.18502086400985718,-0.31665682792663574,8.26151180267334,-0.13088148832321167,0.0,8.394425392150879,-0.23198089003562927,0.005438566207885742,8.389033317565918,-0.06077565252780914,-0.2691669464111328,8.237587928771973,-0.29559266567230225,-0.26122355461120605,8.242342948913574
6,IMG_6448-000007.png,-0.18678119778633118,-0.3223128318786621,8.283967971801758,-0.13217303156852722,0.0,8.4144926071167,-0.23477217555046082,0.005436062812805176,8.409382820129395,-0.06116709113121033,-0.2749185562133789,8.25493049621582,-0.29957541823387146,-0.26582980155944824,8.263606071472168
7,IMG_6448-000008.png,-0.18489867448806763,-0.31748056411743164,8.275893211364746,-0.1311531811952591,0.0,8.408401489257812,-0.23242902755737305,0.004482269287109375,8.401895523071289,-0.06069782376289368,-0.2699606418609619,8.253040313720703,-0.2956743538379669,-0.2598378658294678,8.24974250793457
8,IMG_6448-000009.png,-0.18707121908664703,-0.31986117362976074,8.244134902954102,-0.133071169257164,0.0,8.378805160522461,-0.23539143800735474,0.004905223846435547,8.373482704162598,-0.06114304065704346,-0.2733142375946045,8.217763900756836,-0.298910915851593,-0.26244664192199707,8.216341972351074
9,IMG_6448-000010.png,-0.18774020671844482,-0.3214733600616455,8.267400741577148,-0.13357657194137573,0.0,8.401213645935059,-0.23617321252822876,0.004094839096069336,8.395681381225586,-0.0625571459531784,-0.27558207511901855,8.243536949157715,-0.30010566115379333,-0.263761043548584,8.241384506225586
10,IMG_6448-000011.png,-0.18634189665317535,-0.3162723779678345,8.284400939941406,-0.1328272819519043,0.0,8.418915748596191,-0.234034925699234,0.003950953483581543,8.414405822753906,-0.0627160593867302,-0.2699936628341675,8.263995170593262,-0.2960224747657776,-0.2591060400009155,8.256999969482422
11,IMG_6448-000012.png,-0.18930494785308838,-0.32079577445983887,8.24958324432373,-0.13517165184020996,0.0,8.383496284484863,-0.23810437321662903,0.003478527069091797,8.378966331481934,-0.06354318559169769,-0.2747037410736084,8.225210189819336,-0.3019644618034363,-0.2657320499420166,8.230202674865723
12,IMG_6448-000013.png,-0.18935275077819824,-0.3203848600387573,8.233860969543457,-0.13537295162677765,0.0,8.368003845214844,-0.23778292536735535,0.002875208854675293,8.363018989562988,-0.06457293033599854,-0.275051474571228,8.210490226745605,-0.30158400535583496,-0.26441895961761475,8.21309757232666
13,IMG_6448-000014.png,-0.18832382559776306,-0.3151801824569702,8.26006031036377,-0.13454005122184753,0.0,8.396710395812988,-0.23567169904708862,0.00564730167388916,8.390220642089844,-0.06446570158004761,-0.26913726329803467,8.238614082336426,-0.299044132232666,-0.2576040029525757,8.233506202697754
14,IMG_6448-000015.png,-0.18842284381389618,-0.31413888931274414,8.261523246765137,-0.1350989043712616,0.0,8.396453857421875,-0.23611795902252197,0.004754543304443359,8.392129898071289,-0.06430721282958984,-0.2665567398071289,8.237516403198242,-0.2981094717979431,-0.2570223808288574,8.238374710083008
15,IMG_6448-000016.png,-0.1897575557231903,-0.31914854049682617,8.244522094726562,-0.1362612545490265,0.0,8.37808609008789,-0.2388627976179123,0.0029282569885253906,8.375773429870605,-0.06503815948963165,-0.2727477550506592,8.221151351928711,-0.30196240544319153,-0.26236867904663086,8.223702430725098
16,IMG_6448-000017.png,-0.19073335826396942,-0.3209890127182007,8.358453750610352,-0.1368836760520935,0.0,8.488337516784668,-0.23940518498420715,0.00296783447265625,8.487343788146973,-0.06462019681930542,-0.273983359336853,8.335657119750977,-0.3043693006038666,-0.26420819759368896,8.341080665588379
17,IMG_6448-000018.png,-0.1914956122636795,-0.3191649913787842,8.24811840057373,-0.1377277821302414,0.0,8.381009101867676,-0.24021589756011963,0.0030405521392822266,8.378074645996094,-0.06640610098838806,-0.2725849151611328,8.223791122436523,-0.3037799894809723,-0.2623586654663086,8.227218627929688
18,IMG_6448-000019.png,-0.19179825484752655,-0.3190044164657593,8.252704620361328,-0.13859325647354126,0.0,8.384149551391602,-0.24077868461608887,0.003117203712463379,8.383341789245605,-0.06583507359027863,-0.27158820629119873,8.22871208190918,-0.30406272411346436,-0.26219141483306885,8.230113983154297
19,IMG_6448-000020.png,-0.19176161289215088,-0.3185998201370239,8.273563385009766,-0.1388232409954071,0.0,8.406930923461914,-0.240780770778656,0.0031255483627319336,8.405471801757812,-0.06635892391204834,-0.27136194705963135,8.251652717590332,-0.30399394035339355,-0.2619551420211792,8.254636764526367
20,IMG_6448-000021.png,-0.19139336049556732,-0.31674933433532715,8.265460968017578,-0.1385728120803833,0.0,8.399643898010254,-0.2400595247745514,0.003351926803588867,8.397133827209473,-0.06664345413446426,-0.27070021629333496,8.243744850158691,-0.3040170669555664,-0.25975465774536133,8.245214462280273
21,IMG_6448-000022.png,-0.19301792979240417,-0.31998205184936523,8.296504020690918,-0.1400294452905655,0.0,8.426435470581055,-0.2425149381160736,0.002890348434448242,8.425769805908203,-0.06752505898475647,-0.273327112197876,8.274190902709961,-0.3062655031681061,-0.2629532814025879,8.275711059570312
22,IMG_6448-000023.png,-0.1933773010969162,-0.3209500312805176,8.41418170928955,-0.14060571789741516,0.0,8.5418119430542,-0.24246150255203247,0.0021916627883911133,8.540892601013184,-0.06749384105205536,-0.272869348526001,8.392786979675293,-0.30527687072753906,-0.26300978660583496,8.392776489257812
23,IMG_6448-000024.png,-0.19392022490501404,-0.3202393054962158,8.383028030395508,-0.14119771122932434,0.0,8.511391639709473,-0.24287694692611694,0.0034505128860473633,8.508646011352539,-0.06792113184928894,-0.27268218994140625,8.361123085021973,-0.30565130710601807,-0.2624971866607666,8.359153747558594
24,IMG_6448-000025.png,-0.19419749081134796,-0.3212254047393799,8.404670715332031,-0.1419147402048111,0.0,8.534283638000488,-0.24386388063430786,0.003244161605834961,8.531896591186523,-0.06811587512493134,-0.2731661796569824,8.383841514587402,-0.3074313998222351,-0.2643744945526123,8.386727333068848
25,IMG_6448-000026.png,-0.19487382471561432,-0.32048463821411133,8.311511993408203,-0.14309237897396088,0.0,8.441751480102539,-0.24458178877830505,0.0034744739532470703,8.438405990600586,-0.06879362463951111,-0.2717909812927246,8.29099178314209,-0.30870702862739563,-0.26378822326660156,8.292614936828613
26,IMG_6448-000027.png,-0.19390031695365906,-0.3154914379119873,8.212799072265625,-0.14283746480941772,0.0,8.344614028930664,-0.24302737414836884,0.0026383399963378906,8.342936515808105,-0.06921041011810303,-0.2680392265319824,8.190973281860352,-0.30529117584228516,-0.25741124153137207,8.189044952392578
27,IMG_6448-000028.png,-0.19489435851573944,-0.3139430284500122,8.223447799682617,-0.1438904106616974,0.0,8.356651306152344,-0.2444027215242386,0.0021501779556274414,8.35695743560791,-0.06980067491531372,-0.2661234140396118,8.199824333190918,-0.30630218982696533,-0.2571190595626831,8.197080612182617
28,IMG_6448-000029.png,-0.19579465687274933,-0.3155566453933716,8.245064735412598,-0.14479586482048035,0.0,8.37830924987793,-0.24536731839179993,0.002558588981628418,8.375866889953613,-0.07029028236865997,-0.26698505878448486,8.22184944152832,-0.3078954815864563,-0.25862252712249756,8.2195405960083
29,IMG_6448-000030.png,-0.19681844115257263,-0.3147461414337158,8.247879028320312,-0.14567482471466064,0.0,8.382899284362793,-0.24729472398757935,0.0033729076385498047,8.380149841308594,-0.07142889499664307,-0.2665250301361084,8.22591781616211,-0.30841758847236633,-0.25591444969177246,8.220393180847168
30,IMG_6448-000031.png,-0.1970517635345459,-0.3161756992340088,8.2730712890625,-0.14687690138816833,0.0,8.406940460205078,-0.248460054397583,0.00499415397644043,8.399606704711914,-0.07165947556495667,-0.26558423042297363,8.249321937561035,-0.30958765745162964,-0.25653982162475586,8.245662689208984
31,IMG_6448-000032.png,-0.19839251041412354,-0.3178067207336426,8.325593948364258,-0.1482563316822052,0.0,8.458016395568848,-0.2506009340286255,0.003734111785888672,8.452142715454102,-0.0723872184753418,-0.2659635543823242,8.299580574035645,-0.3103041350841522,-0.25965332984924316,8.298532485961914
32,IMG_6448-000033.png,-0.19751279056072235,-0.3183116912841797,8.323853492736816,-0.14759239554405212,0.0,8.455238342285156,-0.2501031160354614,0.0032116174697875977,8.449636459350586,-0.07234399020671844,-0.26746511459350586,8.2983980178833,-0.3079761862754822,-0.2595250606536865,8.295449256896973
33,IMG_6448-000034.png,-0.19508926570415497,-0.3181043863296509,8.301485061645508,-0.14622712135314941,0.0,8.432947158813477,-0.24922072887420654,0.0035747289657592773,8.42818832397461,-0.07109910249710083,-0.26701033115386963,8.27629566192627,-0.3053739666938782,-0.2590435743331909,8.27377986907959
34,IMG_6448-000035.png,-0.1905892789363861,-0.3144369125366211,8.234626770019531,-0.143502876162529,0.0,8.36940860748291,-0.24661298096179962,0.0034563541412353516,8.363958358764648,-0.06881622970104218,-0.2645580768585205,8.214223861694336,-0.3018214702606201,-0.2573401927947998,8.211801528930664
35,IMG_6448-000036.png,-0.18701744079589844,-0.31714463233947754,8.30952262878418,-0.1425226628780365,0.0,8.442628860473633,-0.24650269746780396,0.004766702651977539,8.435568809509277,-0.06588137894868851,-0.265700101852417,8.288342475891113,-0.298382043838501,-0.25958967208862305,8.281339645385742
36,IMG_6448-000037.png,-0.1814270317554474,-0.31565237045288086,8.289607048034668,-0.1395145207643509,0.0,8.422243118286133,-0.24403715133666992,0.003220796585083008,8.417027473449707,-0.06171528995037079,-0.26547694206237793,8.27187728881836,-0.29250314831733704,-0.2566227912902832,8.257643699645996
37,IMG_6448-000038.png,-0.17502136528491974,-0.316123366355896,8.298417091369629,-0.1358964741230011,0.0,8.431021690368652,-0.2410578727722168,0.00272524356842041,8.427200317382812,-0.057279668748378754,-0.26557648181915283,8.282430648803711,-0.28732338547706604,-0.25883281230926514,8.27329158782959
38,IMG_6448-000039.png,-0.16748474538326263,-0.3160896301269531,8.284984588623047,-0.13122592866420746,0.0,8.419153213500977,-0.23746120929718018,0.0033005475997924805,8.412238121032715,-0.051861345767974854,-0.26602935791015625,8.271485328674316,-0.28028813004493713,-0.26015520095825195,8.258477210998535
39,IMG_6448-000040.png,-0.16106455028057098,-0.3164689540863037,8.3113374710083,-0.12791553139686584,0.0,8.44607925415039,-0.23434966802597046,0.002631664276123047,8.439664840698242,-0.04695892333984375,-0.2659728527069092,8.296076774597168,-0.274286150932312,-0.2610459327697754,8.289666175842285
40,IMG_6448-000041.png,-0.15342038869857788,-0.3120863437652588,8.222536087036133,-0.12319053709506989,0.0,8.35819149017334,-0.22913327813148499,0.003020644187927246,8.352608680725098,-0.04226328432559967,-0.26222896575927734,8.20401382446289,-0.2664254307746887,-0.25794315338134766,8.197591781616211
41,IMG_6448-000042.png,-0.14693661034107208,-0.30898749828338623,8.18442153930664,-0.11984521150588989,0.0,8.324535369873047,-0.22424373030662537,0.0022699832916259766,8.31861400604248,-0.037572890520095825,-0.26088249683380127,8.166226387023926,-0.2589690387248993,-0.25467002391815186,8.15676498413086
42,IMG_6448-000043.png,-0.14145733416080475,-0.3042171001434326,8.139163970947266,-0.11690341681241989,0.0,8.28515338897705,-0.21871647238731384,0.0011724233627319336,8.280879974365234,-0.033804938197135925,-0.25554704666137695,8.118481636047363,-0.2534843981266022,-0.2507965564727783,8.110498428344727
43,IMG_6448-000044.png,-0.13897724449634552,-0.304074764251709,8.09918212890625,-0.11587543040513992,0.0,8.246722221374512,-0.2133564054965973,0.0006544589996337891,8.241819381713867,-0.031115993857383728,-0.2550194263458252,8.082250595092773,-0.24938121438026428,-0.24965786933898926,8.068567276000977
44,IMG_6448-000045.png,-0.13575734198093414,-0.30436456203460693,8.101869583129883,-0.11415204405784607,0.0,8.247648239135742,-0.2073047012090683,0.0032962560653686523,8.23847770690918,-0.02832290530204773,-0.25444281101226807,8.08510684967041,-0.2467084527015686,-0.25068604946136475,8.071793556213379
45,IMG_6448-000046.png,-0.13374365866184235,-0.30208873748779297,8.163068771362305,-0.11368304491043091,0.0,8.316102981567383,-0.20094232261180878,0.010991811752319336,8.295801162719727,-0.02586475759744644,-0.25152015686035156,8.148533821105957,-0.2449481338262558,-0.24811935424804688,8.13218879699707
46,IMG_6448-000047.png,-0.13328656554222107,-0.30313920974731445,8.20853328704834,-0.11404573172330856,0.0,8.362492561340332,-0.19601458311080933,0.020844459533691406,8.329724311828613,-0.024040162563323975,-0.2516911029815674,8.194963455200195,-0.2465691864490509,-0.25034403800964355,8.183216094970703
