frame,img_path,pelvis_x,pelvis_y,pelvis_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z
0,walking-000001.png,-0.6593533158302307,0.02840023674070835,-0.038242340087890625,-0.6616767644882202,0.4114462435245514,0.03212928771972656,-0.6373189091682434,0.4125328063964844,0.0,-0.6234338283538818,0.054414063692092896,0.050048828125,-0.6326484680175781,0.07576734572649002,-0.13499832153320312
1,walking-000002.png,-0.63435959815979,0.029027387499809265,-0.033718109130859375,-0.752901554107666,0.40155118703842163,0.04683494567871094,-0.5000544786453247,0.41515451669692993,0.0,-0.5939165949821472,0.05434640869498253,0.052931785583496094,-0.6066300868988037,0.07435595989227295,-0.131195068359375
2,walking-000003.png,-0.6068602800369263,0.029544558376073837,-0.03342151641845703,-0.7342286705970764,0.39261099696159363,0.04868888854980469,-0.48167842626571655,0.4150967001914978,0.0,-0.5723329782485962,0.056543298065662384,0.05295276641845703,-0.580559492111206,0.07404879480600357,-0.1286296844482422
3,walking-000004.png,-0.5868322849273682,0.025043126195669174,-0.032799720764160156,-0.7228025197982788,0.38494735956192017,0.045853614807128906,-0.47354623675346375,0.4143036901950836,0.0,-0.5533720850944519,0.05426376685500145,0.05074787139892578,-0.5605191588401794,0.07126966118812561,-0.12819480895996094
4,walking-000005.png,-0.5636900663375854,0.019771873950958252,-0.029364585876464844,-0.7066117525100708,0.37450680136680603,0.045807838439941406,-0.4653858542442322,0.41117456555366516,0.0,-0.5342713594436646,0.04975391924381256,0.053714752197265625,-0.5391741394996643,0.06749077141284943,-0.12488746643066406
5,walking-000006.png,-0.5401126742362976,0.018732761964201927,-0.033471107482910156,-0.6885374784469604,0.3667107820510864,0.04257678985595703,-0.4581878185272217,0.4097006618976593,0.0,-0.5101282000541687,0.0435774028301239,0.05373573303222656,-0.5142810344696045,0.06397789716720581,-0.12969493865966797
6,walking-000007.png,-0.5207569003105164,0.015298028476536274,-0.041220664978027344,-0.6665081977844238,0.3621133267879486,0.0279541015625,-0.45398345589637756,0.41065168380737305,0.0,-0.4921504259109497,0.04204351454973221,0.049965858459472656,-0.4945629835128784,0.06128021329641342,-0.13691425323486328
7,walking-000008.png,-0.49705132842063904,0.015147964470088482,-0.0435791015625,-0.6331452131271362,0.34421849250793457,0.017179489135742188,-0.44182834029197693,0.4082426130771637,0.0,-0.4719838798046112,0.04248621314764023,0.04846668243408203,-0.4669896960258484,0.06093379482626915,-0.14246654510498047
8,walking-000009.png,-0.47830161452293396,0.015077823773026466,-0.041454315185546875,-0.6063865423202515,0.33457449078559875,0.028998374938964844,-0.4349752962589264,0.40639278292655945,0.0,-0.45235782861709595,0.040213555097579956,0.05374908447265625,-0.4461793303489685,0.06003187596797943,-0.13897991180419922
9,walking-000010.png,-0.46758413314819336,0.014801562763750553,-0.044582366943359375,-0.5839967727661133,0.3378444314002991,0.041268348693847656,-0.43109527230262756,0.4086083173751831,0.0,-0.4424343705177307,0.03809972479939461,0.05012226104736328,-0.43241363763809204,0.05785984545946121,-0.1429281234741211
10,walking-000011.png,-0.4544956088066101,0.018664564937353134,-0.05375957489013672,-0.5459355115890503,0.3404596149921417,0.032782554626464844,-0.4289274215698242,0.410216361284256,0.0,-0.4169471859931946,0.04094194248318672,0.039175987243652344,-0.4162081778049469,0.05842072144150734,-0.151580810546875
11,walking-000012.png,-0.44113004207611084,0.01698993518948555,-0.049564361572265625,-0.5077628493309021,0.3539808392524719,0.047565460205078125,-0.4224158525466919,0.4082775115966797,0.0,-0.3940211534500122,0.03766851872205734,0.03913402557373047,-0.40447068214416504,0.05557062476873398,-0.14526081085205078
12,walking-000013.png,-0.428356796503067,0.01736171543598175,-0.048549652099609375,-0.46114248037338257,0.35894906520843506,0.06624317169189453,-0.41435399651527405,0.40038877725601196,0.0,-0.38406264781951904,0.03897152841091156,0.045920372009277344,-0.3905963897705078,0.0542302280664444,-0.14347457885742188
13,walking-000014.png,-0.41077619791030884,0.01805025525391102,-0.056740760803222656,-0.3945644497871399,0.3842106759548187,0.051695823669433594,-0.4048147201538086,0.4047386050224304,0.0,-0.37397295236587524,0.0446462482213974,0.031068801879882812,-0.37830549478530884,0.056107617914676666,-0.14994430541992188
14,walking-000015.png,-0.40183591842651367,0.012795478105545044,-0.06287384033203125,-0.37571415305137634,0.3738066554069519,0.05795478820800781,-0.40281835198402405,0.40152379870414734,0.0,-0.3782308101654053,0.040000297129154205,0.025468826293945312,-0.3753330111503601,0.05435863882303238,-0.15836811065673828
15,walking-000016.png,-0.39252322912216187,0.013286890462040901,-0.05906867980957031,-0.34382134675979614,0.37696295976638794,0.0668630599975586,-0.4014724791049957,0.40287530422210693,0.0,-0.3675529956817627,0.04088837653398514,0.02839374542236328,-0.3702244758605957,0.05569815635681152,-0.15513992309570312
16,walking-000017.png,-0.37401631474494934,0.018558556213974953,-0.062198638916015625,-0.29128363728523254,0.3899053633213043,0.059266090393066406,-0.39528000354766846,0.4094873070716858,0.0,-0.34519264101982117,0.042798541486263275,0.019330978393554688,-0.35925161838531494,0.06020078808069229,-0.15812110900878906
17,walking-000018.png,-0.36714091897010803,0.020567642524838448,-0.0580902099609375,-0.2591490149497986,0.39201194047927856,0.06038093566894531,-0.3945503234863281,0.4130723178386688,0.0,-0.33551928400993347,0.03937956690788269,0.02783203125,-0.354198694229126,0.06443234533071518,-0.1564035415649414
18,walking-000019.png,-0.3595438301563263,0.01966536045074463,-0.052437782287597656,-0.23110078275203705,0.3881820738315582,0.07011604309082031,-0.3979482054710388,0.41509518027305603,0.0,-0.3282899856567383,0.040652282536029816,0.035640716552734375,-0.3532675504684448,0.06420859694480896,-0.15135955810546875
19,walking-000020.png,-0.3446134030818939,0.019680272787809372,-0.050670623779296875,-0.20505668222904205,0.38627806305885315,0.057704925537109375,-0.3920974135398865,0.41471895575523376,0.0,-0.31648752093315125,0.039420321583747864,0.04022502899169922,-0.3446229100227356,0.06570042669773102,-0.14957904815673828
20,walking-000021.png,-0.33638903498649597,0.020372215658426285,-0.045134544372558594,-0.19122859835624695,0.3871900737285614,0.048702239990234375,-0.39370155334472656,0.41773751378059387,0.0,-0.3107893168926239,0.04331222176551819,0.04051017761230469,-0.3393871784210205,0.06724101305007935,-0.14242076873779297
21,walking-000022.png,-0.32203760743141174,0.0216293353587389,-0.041497230529785156,-0.18040765821933746,0.3896696865558624,0.05745697021484375,-0.3888433575630188,0.41682708263397217,0.0,-0.2950199842453003,0.04255432263016701,0.045383453369140625,-0.3271910846233368,0.06877931207418442,-0.13915729522705078
22,walking-000023.png,-0.30982041358947754,0.02193802408874035,-0.042967796325683594,-0.17268073558807373,0.3925739824771881,0.046901702880859375,-0.3859962224960327,0.41520053148269653,0.0,-0.2838535010814667,0.04404452070593834,0.04191112518310547,-0.3158321976661682,0.069973424077034,-0.14031982421875
23,walking-000024.png,-0.2896997034549713,0.028730608522892,-0.039200782775878906,-0.1640028953552246,0.3964194357395172,0.05640125274658203,-0.3802671730518341,0.413955956697464,0.0,-0.26486653089523315,0.050627097487449646,0.04765605926513672,-0.2977373003959656,0.07323844730854034,-0.13724708557128906
24,walking-000025.png,-0.2762439548969269,0.029267342761158943,-0.035248756408691406,-0.15391480922698975,0.39927011728286743,0.04644584655761719,-0.37663817405700684,0.4115334451198578,0.0,-0.24899430572986603,0.05236171558499336,0.05007171630859375,-0.2855963706970215,0.0746949166059494,-0.13243389129638672
25,walking-000026.png,-0.25982552766799927,0.02944299206137657,-0.035424232482910156,-0.14492252469062805,0.40394651889801025,0.04125404357910156,-0.37666723132133484,0.4089787006378174,0.0,-0.23246023058891296,0.05277729034423828,0.043427467346191406,-0.27121949195861816,0.07662829756736755,-0.13043498992919922
26,walking-000027.png,-0.24169199168682098,0.02586541138589382,-0.028936386108398438,-0.1359095722436905,0.40426090359687805,0.04009246826171875,-0.3713947534561157,0.4020248353481293,0.0,-0.21527493000030518,0.05318914353847504,0.050823211669921875,-0.2536993622779846,0.07556212693452835,-0.12754535675048828
27,walking-000028.png,-0.2219461351633072,0.021175695583224297,-0.029638290405273438,-0.12758944928646088,0.404175341129303,0.037899017333984375,-0.36270391941070557,0.3929113745689392,0.0,-0.19782204926013947,0.051150545477867126,0.056084632873535156,-0.2349817156791687,0.07212257385253906,-0.12981891632080078
28,walking-000029.png,-0.19785760343074799,0.01803305558860302,-0.03314495086669922,-0.11765313148498535,0.40441998839378357,0.03651142120361328,-0.34707021713256836,0.38473621010780334,0.0,-0.17480069398880005,0.044502466917037964,0.05717945098876953,-0.21172305941581726,0.06862064450979233,-0.1318073272705078
