frame,img_path,pelvis_x,pelvis_y,pelvis_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z
0,IMG_6412-000001.png,0.0,0.0,0.0,0.06364292651414871,0.37064918875694275,0.07937142252922058,-0.009010568261146545,0.3803049921989441,0.08360794186592102,0.11033204942941666,0.01761632412672043,-0.06960198283195496,-0.11186618357896805,0.02174004167318344,-0.07402199506759644
1,IMG_6412-000002.png,0.0,0.0,0.0,0.0667288526892662,0.37093454599380493,0.053825199604034424,-0.005677737295627594,0.3827744126319885,0.07440781593322754,0.11114638298749924,0.018502511084079742,-0.06571048498153687,-0.10979241877794266,0.02229277789592743,-0.07334902882575989
2,IMG_6412-000003.png,0.0,0.0,0.0,0.06908012926578522,0.3752625584602356,0.045309096574783325,-0.003677971661090851,0.3831586539745331,0.08171829581260681,0.11196637153625488,0.01715262234210968,-0.06545621156692505,-0.10810913145542145,0.021354950964450836,-0.07460984587669373
3,IMG_6412-000004.png,0.0,0.0,0.0,0.07140986621379852,0.38180410861968994,0.044536590576171875,-0.004502773284912109,0.38279545307159424,0.09112143516540527,0.11209322512149811,0.019461549818515778,-0.0622715950012207,-0.10720183700323105,0.021563783288002014,-0.0752510130405426
4,IMG_6412-000005.png,0.0,0.0,0.0,0.07343936711549759,0.38520848751068115,0.04290837049484253,-0.00393310934305191,0.38164350390434265,0.09778136014938354,0.11225608736276627,0.01800309121608734,-0.05820107460021973,-0.10778938978910446,0.019508659839630127,-0.07772639393806458
5,IMG_6412-000006.png,0.0,0.0,0.0,0.07151928544044495,0.3876914381980896,0.05031135678291321,-0.00855710357427597,0.3833495080471039,0.09765008091926575,0.11259648203849792,0.02049272507429123,-0.055421799421310425,-0.11060802638530731,0.019079111516475677,-0.0842278003692627
6,IMG_6412-000007.png,0.0,0.0,0.0,0.06944765150547028,0.38764357566833496,0.041862696409225464,-0.007314659655094147,0.38190269470214844,0.10709133744239807,0.11438830196857452,0.020245201885700226,-0.054596275091171265,-0.11099263280630112,0.02091391384601593,-0.0835527777671814
7,IMG_6412-000008.png,0.0,0.0,0.0,0.06739906966686249,0.38409003615379333,0.047351449728012085,-0.007748521864414215,0.37886568903923035,0.11213836073875427,0.11328613758087158,0.018998906016349792,-0.05951499938964844,-0.11109106987714767,0.021998420357704163,-0.08328613638877869
8,IMG_6412-000009.png,0.0,0.0,0.0,0.06294216215610504,0.3899063766002655,0.03439953923225403,-0.012063495814800262,0.3826570212841034,0.10790953040122986,0.11459840834140778,0.020006902515888214,-0.05827885866165161,-0.11362946033477783,0.02488907426595688,-0.08069154620170593
9,IMG_6412-000010.png,0.0,0.0,0.0,0.05762141942977905,0.3935127854347229,0.035369545221328735,-0.01427718997001648,0.3798067271709442,0.11785903573036194,0.11441877484321594,0.019405916333198547,-0.056384533643722534,-0.11551877856254578,0.02542075887322426,-0.07938012480735779
10,IMG_6412-000011.png,0.0,0.0,0.0,0.05335700511932373,0.39791128039360046,0.026342391967773438,-0.017360791563987732,0.37843164801597595,0.1255117654800415,0.11396047472953796,0.021105796098709106,-0.05589732527732849,-0.1168975830078125,0.027120977640151978,-0.07786551117897034
11,IMG_6412-000012.png,0.0,0.0,0.0,0.050205960869789124,0.397606760263443,0.030587315559387207,-0.021608255803585052,0.38185861706733704,0.12436175346374512,0.11369438469409943,0.020295046269893646,-0.05396479368209839,-0.11698277294635773,0.026437152177095413,-0.0756007730960846
12,IMG_6412-000013.png,0.0,0.0,0.0,0.04773002862930298,0.39694687724113464,0.03824251890182495,-0.02380286157131195,0.3737553656101227,0.13628387451171875,0.11212339997291565,0.0186086967587471,-0.056020110845565796,-0.11864148080348969,0.026730429381132126,-0.07146197557449341
13,IMG_6412-000014.png,0.0,0.0,0.0,0.04501618444919586,0.3926059305667877,0.04148992896080017,-0.027928426861763,0.3488011956214905,0.1422734558582306,0.11133742332458496,0.018733203411102295,-0.056574225425720215,-0.11872105300426483,0.026550669223070145,-0.06784489750862122
14,IMG_6412-000015.png,0.0,0.0,0.0,0.04454702138900757,0.39482617378234863,0.048846811056137085,-0.029625646770000458,0.34196561574935913,0.13739868998527527,0.11118881404399872,0.016501694917678833,-0.05886104702949524,-0.11961457133293152,0.027022644877433777,-0.06938877701759338
15,IMG_6412-000016.png,0.0,0.0,0.0,0.04427030682563782,0.3927721679210663,0.054052770137786865,-0.028486602008342743,0.3369077742099762,0.10990887880325317,0.11329099535942078,0.01917482167482376,-0.06164032220840454,-0.11989468336105347,0.0283670537173748,-0.066744863986969
16,IMG_6412-000017.png,0.0,0.0,0.0,0.043712928891181946,0.39073362946510315,0.06036671996116638,-0.029494427144527435,0.3361811935901642,0.09117969870567322,0.11309477686882019,0.018198154866695404,-0.06363451480865479,-0.11988253891468048,0.02865803986787796,-0.06431171298027039
