frame,img_path,pelvis_x,pelvis_y,pelvis_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z
0,walking-000001.png,0.0,-1.6999956369400024,0.0,-0.010282657109200954,-0.004808545112609863,0.31143155694007874,0.09751424193382263,0.0,0.1692427694797516,0.158963143825531,-1.5848702937364578,0.3907376527786255,0.11818362027406693,-1.4903703927993774,-0.4281983971595764
1,walking-000002.png,0.5143300080671906,-1.7088227272033691,-0.045057982206344604,-0.010282657109200954,-0.06020224094390869,0.31143155694007874,1.1087031746283174,0.0,0.10416088998317719,0.6933123702183366,-1.596772275865078,0.33841365575790405,0.6370483199134469,-1.5082191228866577,-0.4764444828033447
2,walking-000003.png,0.5533917928114533,-1.7062780857086182,-0.051953524351119995,-0.010282657109200954,-0.09951150417327881,0.31143155694007874,1.1073896074667573,0.0,0.09595513343811035,0.7061940217390656,-1.5867939665913582,0.3302980959415436,0.6697870949283242,-1.509322613477707,-0.473300963640213
3,walking-000004.png,0.6060371780768037,-1.7226898670196533,-0.049202412366867065,0.00429473165422678,-0.12991774082183838,0.2988802194595337,1.1073896074667573,0.0,0.09595513343811035,0.7541167670860887,-1.5933726280927658,0.3205394446849823,0.7224871451035142,-1.5181122720241547,-0.4713762700557709
4,walking-000005.png,0.6368009829893708,-1.7321699857711792,-0.03380066156387329,0.00429473165422678,-0.16227483749389648,0.2988802194595337,1.0718506956472993,0.0,0.09615269303321838,0.7669947082176805,-1.5994831174612045,0.3338715434074402,0.745297365821898,-1.5209879130125046,-0.4565418064594269
5,walking-000006.png,0.709288545884192,-1.73024582862854,-0.05197623372077942,0.05242789629846811,-0.1902536153793335,0.2845779061317444,1.0718506956472993,0.0,0.09615269303321838,0.8419860983267426,-1.620294764637947,0.33396148681640625,0.8236076096072793,-1.5300114899873734,-0.47782036662101746
6,walking-000007.png,0.6974567854776978,-1.74965500831604,-0.021557152271270752,0.05242789629846811,-0.21480858325958252,0.2845779061317444,0.9929656172171235,0.0,0.1608668565750122,0.824056007899344,-1.6312916725873947,0.38199323415756226,0.813379124738276,-1.54615880548954,-0.44505348801612854
7,walking-000008.png,0.7485738331452012,-1.7396577596664429,-0.03199544548988342,0.14628445450216532,-0.28334152698516846,0.23689305782318115,0.9929656172171235,0.0,0.1608668565750122,0.8595109367743134,-1.6186711341142654,0.3753564655780792,0.8816129798069596,-1.5370305478572845,-0.4696280360221863
8,walking-000009.png,0.7131301099434495,-1.7317816019058228,-0.0749002993106842,0.14628445450216532,-0.3178349733352661,0.23689305782318115,0.9048726493492723,0.0,0.10855576395988464,0.8279454195871949,-1.6205423101782799,0.3464268147945404,0.8552887672558427,-1.5328354388475418,-0.5065032243728638
9,walking-000010.png,0.7433895850554109,-1.7428091764450073,-0.08874692022800446,0.22820029500871897,-0.31316864490509033,0.2911885529756546,0.9048726493492723,0.0,0.10855576395988464,0.8546910369768739,-1.639702133834362,0.33037300407886505,0.899038233794272,-1.5522528290748596,-0.5239800363779068
10,walking-000011.png,0.6328716957941651,-1.7328298091888428,-0.09180943667888641,0.22820029500871897,-0.3087116479873657,0.2911885529756546,0.7460247734561563,0.0,0.14610528945922852,0.7990438425913453,-1.6342402920126915,0.3194829970598221,0.8023144090548158,-1.5568871796131134,-0.5247215181589127
11,walking-000012.png,0.6632043654099107,-1.7316604852676392,-0.07324504852294922,0.3683178657665849,-0.24029242992401123,0.35660648345947266,0.7460247734561563,0.0,0.14610528945922852,0.8716868991032243,-1.6401465013623238,0.3192935883998871,0.8254419201985002,-1.5609199404716492,-0.4967552423477173
12,walking-000013.png,0.6840547630563378,-1.6951032876968384,-0.06875281035900116,0.5389602044597268,-0.18339323997497559,0.4392676502466202,0.7460247734561563,0.0,0.14610528945922852,0.8800804177299142,-1.5994680970907211,0.34932897984981537,0.8511651763692498,-1.531940057873726,-0.48884765803813934
13,walking-000014.png,0.7196419229730964,-1.7113064527511597,-0.10500413179397583,0.7913876688107848,-0.09084725379943848,0.37488874793052673,0.7460247734561563,0.0,0.14610528945922852,0.8825163086876273,-1.5936046987771988,0.28359925746917725,0.8633424630388618,-1.5428819060325623,-0.5174817442893982
14,walking-000015.png,0.7503725765272975,-1.7203344106674194,-0.13214540481567383,0.8659756062552333,-0.12266349792480469,0.40258651971817017,0.7460247734561563,0.0,0.14610528945922852,0.8548380909487605,-1.5999382883310318,0.2588174045085907,0.8676622984930873,-1.5363948047161102,-0.5547603070735931
15,walking-000016.png,0.6504432735964656,-1.7241407632827759,-0.1547297239303589,0.8659756062552333,-0.11467623710632324,0.40258651971817017,0.6108379727229476,0.0,0.10668158531188965,0.7609502105042338,-1.601989172399044,0.2323378026485443,0.749127390794456,-1.536447823047638,-0.5798967480659485
16,walking-000017.png,0.7049413686618209,-1.7300724983215332,-0.16858097910881042,1.0710784560069442,-0.08666074275970459,0.36896654963493347,0.6108379727229476,0.0,0.10668158531188965,0.8325018053874373,-1.6227973774075508,0.19223222136497498,0.7702831169590354,-1.5457829535007477,-0.5930889248847961
17,walking-000018.png,0.7321394374594092,-1.737046718597412,-0.15039867162704468,1.21006244327873,-0.09320354461669922,0.37389880418777466,0.6108379727229476,0.0,0.10668158531188965,0.8720823815092444,-1.6537937223911285,0.22985374927520752,0.7894158912822604,-1.5429215282201767,-0.5854885280132294
18,walking-000019.png,0.7807983076199889,-1.7499921321868896,-0.12538492679595947,1.3492286717519164,-0.11910510063171387,0.41698402166366577,0.6108379727229476,0.0,0.10668158531188965,0.919113582931459,-1.6571135818958282,0.2644101083278656,0.8085742620751262,-1.5528640449047089,-0.5631676316261292
