frame,img_path,pelvis_x,pelvis_y,pelvis_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z
0,walking-000001.png,0.0,-1.6999956369400024,0.0,-0.010282657109200954,-0.004808545112609863,0.31143155694007874,0.09751424193382263,0.0,0.1692427694797516,0.158963143825531,-1.5848702937364578,0.3907376527786255,0.11818362027406693,-1.4903703927993774,-0.4281983971595764
1,walking-000002.png,-0.4968589246273041,-1.7088227272033691,0.020023897290229797,-1.0214715898036957,-0.06020224094390869,0.37651343643665314,0.09751424193382263,0.0,0.1692427694797516,-0.31787656247615814,-1.596772275865078,0.40349553525447845,-0.3741406127810478,-1.5082191228866577,-0.4113626033067703
2,walking-000003.png,-0.4564835727214813,-1.7062780857086182,0.02133411169052124,-1.0201580226421356,-0.09951150417327881,0.38471919298171997,0.09751424193382263,0.0,0.1692427694797516,-0.303681343793869,-1.5867939665913582,0.4035857319831848,-0.34008827060461044,-1.509322613477707,-0.4000133275985718
3,walking-000004.png,-0.403838187456131,-1.7226898670196533,0.02408522367477417,-1.0055806338787079,-0.12991774082183838,0.3721678555011749,0.09751424193382263,0.0,0.1692427694797516,-0.255758598446846,-1.5933726280927658,0.39382708072662354,-0.28738822042942047,-1.5181122720241547,-0.39808863401412964
4,walking-000005.png,-0.33753547072410583,-1.7321699857711792,0.03928941488265991,-0.9700417220592499,-0.16227483749389648,0.3719702959060669,0.09751424193382263,0.0,0.1692427694797516,-0.2073417454957962,-1.5994831174612045,0.4069616198539734,-0.22903908789157867,-1.5209879130125046,-0.3834517300128937
5,walking-000006.png,-0.26504790782928467,-1.73024582862854,0.021113842725753784,-0.9219085574150085,-0.1902536153793335,0.3576679825782776,0.09751424193382263,0.0,0.1692427694797516,-0.132350355386734,-1.620294764637947,0.40705156326293945,-0.15072884410619736,-1.5300114899873734,-0.40473029017448425
6,walking-000007.png,-0.19799458980560303,-1.74965500831604,-0.013181239366531372,-0.8430234789848328,-0.21480858325958252,0.29295381903648376,0.09751424193382263,0.0,0.1692427694797516,-0.07139536738395691,-1.6312916725873947,0.39036914706230164,-0.08207225054502487,-1.54615880548954,-0.43667757511138916
7,walking-000008.png,-0.14687754213809967,-1.7396577596664429,-0.023619532585144043,-0.7491669207811356,-0.28334152698516846,0.24526897072792053,0.09751424193382263,0.0,0.1692427694797516,-0.03594043850898743,-1.6186711341142654,0.3837323784828186,-0.013838395476341248,-1.5370305478572845,-0.4612521231174469
8,walking-000009.png,-0.09422829747200012,-1.7317816019058228,-0.01421329379081726,-0.6610739529132843,-0.3178349733352661,0.2975800633430481,0.09751424193382263,0.0,0.1692427694797516,0.0205870121717453,-1.6205423101782799,0.40711382031440735,0.047930359840393066,-1.5328354388475418,-0.4458162188529968
9,walking-000010.png,-0.06396882236003876,-1.7428091764450073,-0.028059914708137512,-0.5791581124067307,-0.31316864490509033,0.35187555849552155,0.09751424193382263,0.0,0.1692427694797516,0.047332629561424255,-1.639702133834362,0.391060009598732,0.09167982637882233,-1.5522528290748596,-0.46329303085803986
