frame,img_path,pelvis_x,pelvis_y,pelvis_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z
0,IMG_6447-000001.png,0.0,-0.8914676633089657,0.0,0.12245572358369827,0.002846759046507996,0.049735290629467216,-0.14079715311527252,0.0,0.011594513714550864,0.3609834909439087,-1.2921618300162478,0.041775718618553066,-0.34372758865356445,-1.3417093735108034,-0.08121602636352049
1,IMG_6447-000002.png,0.0,-0.8961995741357752,0.0,0.12416191399097443,0.0,0.06341891918563147,-0.14357663691043854,0.0008210050802837099,0.012121896652334901,0.36187243461608887,-1.3052824767780669,0.03397931204566816,-0.34673210978507996,-1.3487640085402055,-0.08960462793666356
2,IMG_6447-000003.png,0.0,-0.8973850571454763,0.0,0.12137194722890854,0.001107313292162071,0.05726337692847269,-0.14441438019275665,0.0,0.01626640927908582,0.3605424463748932,-1.3061191628883797,0.026659383348846002,-0.3520742952823639,-1.3511250741466965,-0.09761599388101183
3,IMG_6447-000004.png,0.0,-0.8973519471720094,0.0,0.12339052557945251,0.0,0.0631595692836443,-0.14461912214756012,0.00017281797760149153,0.013614576486969038,0.3613091707229614,-1.3055650129259941,0.02698346266391574,-0.34741851687431335,-1.3499544850439782,-0.08975581350531918
4,IMG_6447-000005.png,0.0,-0.8989093655257879,0.0,0.12215109169483185,0.001431044820095706,0.057956678127989686,-0.1454107016324997,0.0,0.018693081699114322,0.36192283034324646,-1.3085886825934594,0.03349023030895866,-0.35076501965522766,-1.3539266191395554,-0.09954582100589764
5,IMG_6447-000006.png,0.0,-0.8976665634206089,0.0,0.1220993921160698,0.0015088420125348723,0.05931943736151757,-0.1452089250087738,0.0,0.018822671507363553,0.3615920841693878,-1.3067466922149102,0.029865432214583085,-0.35183656215667725,-1.354805170147935,-0.10320305822458685
6,IMG_6447-000007.png,0.0,-0.8997211643567533,0.0,0.12154382467269897,0.0007195855520973904,0.054080832174270066,-0.14569535851478577,0.0,0.014670212421436957,0.36134517192840576,-1.309806095394706,0.02740200032468522,-0.35174059867858887,-1.3550182536255204,-0.10350663350062816
7,IMG_6447-000008.png,0.0,-0.9004494128847522,0.0,0.12155041098594666,0.0015833070285600215,0.05611496586222642,-0.1457791030406952,0.0,0.011401563163225936,0.3607185482978821,-1.309955522802336,0.02941399553874184,-0.35200485587120056,-1.3548879821719262,-0.10218364011756689
8,IMG_6447-000009.png,0.0,-0.8990620279491044,0.0,0.12262751907110214,0.0020024601166818146,0.05685220218755194,-0.14393742382526398,0.0,0.011938764451270484,0.361443430185318,-1.3073936048355537,0.026588959238872542,-0.3519788682460785,-1.355822594168206,-0.10170030427002924
9,IMG_6447-000010.png,0.0,-0.9022806273390982,0.0,0.12213798612356186,0.0,0.05192279126383592,-0.14644472301006317,0.0003900275414632226,0.0018444359419896028,0.36160561442375183,-1.3106482722638344,0.02828576979513381,-0.3532157838344574,-1.3573607893801114,-0.10017175393774423
10,IMG_6447-000011.png,0.0,-0.8997974046311281,0.0,0.1251877099275589,0.0031387808362192127,0.05185731332153973,-0.144358828663826,0.0,0.010416788664150717,0.36283746361732483,-1.308330047713988,0.03042638510756321,-0.34839001297950745,-1.352960898161645,-0.09758124753908402
11,IMG_6447-000012.png,0.0,-0.9021339942035075,0.0,0.1223149523139,0.0,0.05474890517567496,-0.14594067633152008,0.0004297300193678577,0.006725331033708676,0.36114317178726196,-1.3124998709822044,0.025998842765004915,-0.3532046973705292,-1.3572314564769101,-0.09856438003046981
12,IMG_6447-000013.png,0.0,-0.9012465029718143,0.0,0.12188325077295303,0.0,0.055066186696940245,-0.14552706480026245,0.00041576128358478126,0.007924095087203237,0.3604177236557007,-1.313040155663519,0.026699885383062172,-0.3533223867416382,-1.3568178780234454,-0.10260962448847168
13,IMG_6447-000014.png,0.0,-0.9023881938413084,0.0,0.12221739441156387,0.0,0.052724487039607804,-0.14587648212909698,0.0003304599714076817,0.0055152980762296355,0.3607230484485626,-1.3147862250704836,0.02655795839142773,-0.3544853925704956,-1.357697255524858,-0.10193729501510006
14,IMG_6447-000015.png,0.0,-0.9037329705451238,0.0,0.12273663282394409,0.0,0.05092538852433473,-0.14612406492233276,0.0006932140498280281,0.0034022222626738374,0.36212965846061707,-1.3166346089564471,0.029999313842370742,-0.3550303280353546,-1.359514992133872,-0.10099897636203695
15,IMG_6447-000016.png,0.0,-0.9030979378936634,0.0,0.1231631189584732,0.0,0.05036829399192347,-0.14602753520011902,0.0010020498543639178,0.003419218450477185,0.3619444668292999,-1.3161130785027908,0.026368634396160606,-0.3548715114593506,-1.3592807577840846,-0.10085565372341361
16,IMG_6447-000017.png,0.0,-0.9036790753597361,0.0,0.12317325174808502,0.0008057223487339948,0.05057920264368093,-0.1465328484773636,0.0,0.004761349224396361,0.36261457204818726,-1.3158232125518248,0.02759969435474932,-0.355274498462677,-1.3603850837933578,-0.10162749921126522
17,IMG_6447-000018.png,0.0,-0.9029447260265397,0.0,0.12347985059022903,0.0,0.049905198600441764,-0.14618119597434998,0.0021419596438972954,0.0026451932045066795,0.36191457509994507,-1.3146237756382708,0.028491740336634555,-0.35539141297340393,-1.3587024647662174,-0.10089626106574469
18,IMG_6447-000019.png,0.0,-0.9037787304010064,0.0,0.12376517057418823,0.0,0.04860391778821921,-0.1455972045660019,0.0013317655703721787,0.0007862221975300787,0.36226701736450195,-1.3142642259949255,0.03033874839795872,-0.35525763034820557,-1.358687019062548,-0.09907697870893033
19,IMG_6447-000020.png,0.0,-0.9016553122978779,0.0,0.12423828989267349,0.0022140030082539175,0.05077559136352172,-0.14490407705307007,0.0,0.0022734331788882844,0.3625676929950714,-1.3132764882104733,0.032571266336407945,-0.3544520139694214,-1.3590390477871406,-0.10343829166795439
20,IMG_6447-000021.png,0.0,-0.9037677600810453,0.0,0.12604233622550964,0.0009711112097356978,0.03266812761758217,-0.14259639382362366,0.0,-0.0022660499626806774,0.36328452825546265,-1.3134985132147643,0.03697964363285608,-0.3517768681049347,-1.358797049232753,-0.09025401686944437
21,IMG_6447-000022.png,0.0,-0.9011869809500594,0.0,0.12483703345060349,0.0012082402383691848,0.05389297498468887,-0.1439860761165619,0.0,0.009388026311103387,0.36120250821113586,-1.3133961626968662,0.029211507693096952,-0.3533158600330353,-1.3577753224628302,-0.10244346619774568
22,IMG_6447-000023.png,0.0,-0.9015402898997683,0.0,0.12670327723026276,0.0015381740789420784,0.03813767020701084,-0.14182189106941223,0.0,-0.0009336504802281154,0.36277061700820923,-1.3110961646035373,0.03669891454935163,-0.3513335883617401,-1.3586932460832746,-0.09405933316702897
23,IMG_6447-000024.png,0.0,-0.9007761695770201,0.0,0.12659940123558044,0.0007433564735471743,0.038006531061984206,-0.14158691465854645,0.0,0.0017483641099193814,0.3620319068431854,-1.310369849163724,0.03830794909709549,-0.3510553538799286,-1.3590160428680815,-0.09410103617558954
24,IMG_6447-000025.png,0.0,-0.8992547021407,0.0,0.12651747465133667,0.0017995038374095662,0.05447219278033397,-0.14450377225875854,0.0,0.007317991972136922,0.3575214147567749,-1.3038066329910336,0.04854426872203416,-0.3506409525871277,-1.3612271348178158,-0.1019178504693797
25,IMG_6447-000026.png,0.0,-0.9043803322263224,0.0,0.12485632300376892,0.0,0.04830736417045797,-0.1436028629541397,0.0009011393070812446,0.0029223784648138296,0.36246103048324585,-1.3140685329922661,0.02918154032932553,-0.3552428185939789,-1.3630101286948686,-0.09985182048701732
26,IMG_6447-000027.png,0.0,-0.8992747854892442,0.0,0.12702901661396027,0.002365803939116118,0.05294180739091858,-0.14242295920848846,0.0,0.0050879247671095085,0.36156219244003296,-1.3032716592254583,0.04399629542647685,-0.35022032260894775,-1.364039048425023,-0.10242291759774941
27,IMG_6447-000028.png,0.0,-0.9010142025549921,0.0,0.12769815325737,0.001537817245048645,0.05155640698002936,-0.14166124165058136,0.0,0.008122564445419145,0.3661692440509796,-1.307726076288099,0.04159350271250356,-0.34979555010795593,-1.366242149307375,-0.10292006609215305
28,IMG_6447-000029.png,0.0,-0.90280871427317,0.0,0.1278274804353714,0.0,0.04464293221370097,-0.14298319816589355,0.005452429011946092,0.0015629970429557882,0.3733062446117401,-1.3131297360463623,0.030882678623199405,-0.35044345259666443,-1.3638504284696586,-0.09828776144128128
